"Season","No. overall","No. in season","Guests","guests","winner","Timeslot","Original air date","Viewers"
6,149,27,"Ed Kavalee, Denise Scott, Marty Sheargold, Melanie Bracewell, Sam Pang","Ed Kavalee, Denise Scott, Marty Sheargold, Melanie Bracewell, Sam Pang","Ed Kavalee","8:35 pm Monday","12 November 2018","724,000[145]"
7,151,1,"Ed Kavalee, Melanie Bracewell, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee, Melanie Bracewell, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee","8.40 pm Monday","13 May 2019","787,000[146]"
7,152,2,"Ed Kavalee, Susie Youssef, Marty Sheargold, Anne Edmonds, Sam Pang","Ed Kavalee, Susie Youssef, Marty Sheargold, Anne Edmonds, Sam Pang","Ed Kavalee","8.40 pm Monday","20 May 2019","673,000[147]"
7,153,3,"Ed Kavalee, Urzila Carlson, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee, Urzila Carlson, Glenn Robbins, Celia Pacquola, Sam Pang","Sam Pang","8.40 pm Monday","27 May 2019","741,000[148]"
7,154,4,"Ed Kavalee, Amanda Keller, Peter Helliar, Gen Fricker, Sam Pang","Ed Kavalee, Amanda Keller, Peter Helliar, Gen Fricker, Sam Pang","Amanda Keller","8.40 pm Monday","3 June 2019","707,000[149]"
7,155,5,"Ed Kavalee, Denise Scott, Tony Martin, Anne Edmonds, Sam Pang","Ed Kavalee, Denise Scott, Tony Martin, Anne Edmonds, Sam Pang","Anne Edmonds","9.00 pm Monday","10 June 2019","675,000[150]"
7,156,6,"Ed Kavalee, Ash London, Marty Sheargold, Melanie Bracewell, Sam Pang","Ed Kavalee, Ash London, Marty Sheargold, Melanie Bracewell, Sam Pang","Melanie Bracewell","8.40 pm Monday","17 June 2019","718,000[151]"
7,157,7,"Ed Kavalee, Urzila Carlson, Lloyd Langford, Kitty Flanagan, Sam Pang","Ed Kavalee, Urzila Carlson, Lloyd Langford, Kitty Flanagan, Sam Pang","Ed Kavalee","8.40 pm Monday","24 June 2019","750,000[152]"
7,158,8,"Ed Kavalee, Urzila Carlson, Dilruk Jayasinha, Anne Edmonds, Hayley Sproull","Ed Kavalee, Urzila Carlson, Dilruk Jayasinha, Anne Edmonds, Hayley Sproull","Dilruk Jayasinha","8.40 pm Monday","1 July 2019","704,000[153]"
7,159,9,"Tony Martin, Melanie Bracewell, Glenn Robbins, Kitty Flanagan, Ivan Aristeguieta","Tony Martin, Melanie Bracewell, Glenn Robbins, Kitty Flanagan, Ivan Aristeguieta","Glenn Robbins","8.30 pm Monday","8 July 2019","598,000[154]"
7,160,10,"Ed Kavalee, Denise Scott, Peter Helliar, Celia Pacquola, Sam Pang","Ed Kavalee, Denise Scott, Peter Helliar, Celia Pacquola, Sam Pang","Peter Helliar","8.40 pm Monday","15 July 2019","703,000[155]"
7,161,11,"Ed Kavalee, Abby Coleman, Marty Sheargold, Ash London, Sam Pang","Ed Kavalee, Abby Coleman, Marty Sheargold, Ash London, Sam Pang","Ed Kavalee","9.00 pm Monday","22 July 2019","668,000[156]"
7,162,12,"Ed Kavalee, Amanda Keller, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee, Amanda Keller, Mick Molloy, Kitty Flanagan, Sam Pang","Amanda Keller","9.00 pm Monday","29 July 2019","673,000[157]"
7,163,13,"Ed Kavalee, Denise Scott, Tony Martin, Ash London, Sam Pang","Ed Kavalee, Denise Scott, Tony Martin, Ash London, Sam Pang","Ash London","8.40 pm Monday","5 August 2019","650,000[158]"
7,164,14,"Ed Kavalee, Urzila Carlson, Dane Simpson, Melanie Bracewell, Sam Pang","Ed Kavalee, Urzila Carlson, Dane Simpson, Melanie Bracewell, Sam Pang","Ed Kavalee","8.40 pm Monday","12 August 2019","735,000[159]"
7,165,15,"Ed Kavalee, Hayley Sproull, Peter Helliar, Kitty Flanagan, Sam Pang","Ed Kavalee, Hayley Sproull, Peter Helliar, Kitty Flanagan, Sam Pang","Ed Kavalee","8.40 pm Monday","19 August 2019","736,000[160]"
7,166,16,"Ed Kavalee, Susie Youssef, Lloyd Langford, Ash London, Sam Pang","Ed Kavalee, Susie Youssef, Lloyd Langford, Ash London, Sam Pang","Susie Youssef","8.40 pm Monday","26 August 2019","780,000[161]"
7,167,17,"Ed Kavalee, Abby Coleman, Marty Sheargold, Anne Edmonds, Sam Pang","Ed Kavalee, Abby Coleman, Marty Sheargold, Anne Edmonds, Sam Pang","Ed Kavalee","8.40 pm Monday","2 September 2019","747,000[162]"
7,168,18,"Ed Kavalee, Amanda Keller, Lloyd Langford, Hayley Sproull, Sam Pang","Ed Kavalee, Amanda Keller, Lloyd Langford, Hayley Sproull, Sam Pang","Amanda Keller","8.40 pm Monday","9 September 2019","819,000[163]"
7,169,19,"Ed Kavalee, Urzila Carlson, Tim McDonald, Kitty Flanagan, Sam Pang","Ed Kavalee, Urzila Carlson, Tim McDonald, Kitty Flanagan, Sam Pang","Ed Kavalee","8.40 pm Monday","16 September 2019","826,000[164]"
7,170,20,"Ed Kavalee, Geraldine Hickey, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee, Geraldine Hickey, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee","8.45 pm Monday","23 September 2019","823,000[165]"
7,171,21,"Ed Kavalee, Denise Scott, Marty Sheargold, Anne Edmonds, Dave O'Neil","Ed Kavalee, Denise Scott, Marty Sheargold, Anne Edmonds, Dave O'Neil","Marty Sheargold","8.45 pm Monday","30 September 2019","819,000[166]"
7,172,22,"Ed Kavalee, Melanie Bracewell, Lawrence Mooney, Kitty Flanagan, Sam Pang","Ed Kavalee, Melanie Bracewell, Lawrence Mooney, Kitty Flanagan, Sam Pang","Lawrence Mooney","8.45 pm Monday","7 October 2019","823,000[167]"
7,173,23,"Ed Kavalee, Urzila Carlson, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Urzila Carlson, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","8.45 pm Monday","14 October 2019","946,000[168]"
7,174,24,"Tony Martin, Melanie Bracewell, Marty Sheargold, Ash London, Sam Pang","Tony Martin, Melanie Bracewell, Marty Sheargold, Ash London, Sam Pang","Ash London","8.40 pm Monday","21 October 2019","926,000[169]"
7,175,25,"Ed Kavalee, Urzila Carlson, Glenn Robbins, Hayley Sproull, Sam Pang","Ed Kavalee, Urzila Carlson, Glenn Robbins, Hayley Sproull, Sam Pang","Ed Kavalee","8.40 pm Monday","28 October 2019","816,000[170]"
7,176,26,"Ed Kavalee, Denise Scott, Tim McDonald, Kitty Flanagan, Lloyd Langford","Ed Kavalee, Denise Scott, Tim McDonald, Kitty Flanagan, Lloyd Langford","Ed Kavalee","8.40 pm Monday","4 November 2019","611,000[171]"
7,177,27,"Ed Kavalee, Geraldine Hickey, Marty Sheargold, Anne Edmonds, Sam Pang","Ed Kavalee, Geraldine Hickey, Marty Sheargold, Anne Edmonds, Sam Pang","Marty Sheargold","8.40 pm Monday","11 November 2019","754,000[172]"
7,178,28,"Ed Kavalee, Urzila Carlson, Peter Helliar, Hayley Sproull, Sam Pang","Ed Kavalee, Urzila Carlson, Peter Helliar, Hayley Sproull, Sam Pang","Urzila Carlson","8.40 pm Monday","18 November 2019","825,000[173]"
8,180,1,"Ed Kavalee, Urzila Carlson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Urzila Carlson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee","8.45 pm Monday","4 May 2020","934,000[174]"
8,181,2,"Ed Kavalee, Melanie Bracewell, Lloyd Langford, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Lloyd Langford, Celia Pacquola, Sam Pang","Ed Kavalee","8.50 pm Monday","11 May 2020","868,000[175]"
8,182,3,"Ed Kavalee, Amanda Keller, Glenn Robbins, Kitty Flanagan, Sam Pang","Ed Kavalee, Amanda Keller, Glenn Robbins, Kitty Flanagan, Sam Pang","Amanda Keller","8.40 pm Monday","18 May 2020","881,000[176]"
8,183,4,"Ed Kavalee, Hayley Sproull, Mick Molloy, Anne Edmonds, Sam Pang","Ed Kavalee, Hayley Sproull, Mick Molloy, Anne Edmonds, Sam Pang","Anne Edmonds","8.40 pm Monday","25 May 2020","815,000[177]"
8,184,5,"Ed Kavalee, Urzila Carlson, Lloyd Langford, Celia Pacquola, Sam Pang","Ed Kavalee, Urzila Carlson, Lloyd Langford, Celia Pacquola, Sam Pang","Lloyd Langford","8.40 pm Monday","1 June 2020","812,000[178]"
8,185,6,"Ed Kavalee, Denise Scott, Marty Sheargold, Melanie Bracewell, Sam Pang","Ed Kavalee, Denise Scott, Marty Sheargold, Melanie Bracewell, Sam Pang","Ed Kavalee","8.40 pm Monday","8 June 2020","769,000[179]"
8,186,7,"Ed Kavalee, Geraldine Hickey, Peter Helliar, Kitty Flanagan, Sam Pang","Ed Kavalee, Geraldine Hickey, Peter Helliar, Kitty Flanagan, Sam Pang","Geraldine Hickey","8.40 pm Monday","15 June 2020","802,000[180]"
8,187,8,"Ed Kavalee, Melanie Bracewell, Tim McDonald, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Tim McDonald, Celia Pacquola, Sam Pang","Ed Kavalee","8.40 pm Monday","22 June 2020","787,000[181]"
8,188,9,"Ed Kavalee, Urzila Carlson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Urzila Carlson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee","8.40 pm Monday","29 June 2020","824,000[182]"
8,189,10,"Ed Kavalee, Hayley Sproull, Glenn Robbins, Anne Edmonds, Sam Pang","Ed Kavalee, Hayley Sproull, Glenn Robbins, Anne Edmonds, Sam Pang","Glenn Robbins","8.40 pm Monday","6 July 2020","762,000[183]"
8,190,11,"Ed Kavalee, Denise Scott, Tony Martin, Celia Pacquola, Sam Pang","Ed Kavalee, Denise Scott, Tony Martin, Celia Pacquola, Sam Pang","Celia Pacquola","8.45 pm Monday","13 July 2020","853,000[184]"
8,191,12,"Tim McDonald, Geraldine Hickey, Melanie Bracewell, Lloyd Langford, Sam Pang","Tim McDonald, Geraldine Hickey, Melanie Bracewell, Lloyd Langford, Sam Pang","Sam Pang","9:25 pm Monday","20 July 2020","771,000[185]"
8,192,13,"Ed Kavalee, Amanda Keller, Mick Molloy, Kitty Flanagan, Peter Helliar","Ed Kavalee, Amanda Keller, Mick Molloy, Kitty Flanagan, Peter Helliar","Amanda Keller","9.00 pm Monday","27 July 2020","597,000[186]"
8,193,14,"Ed Kavalee, Melanie Bracewell, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Marty Sheargold, Celia Pacquola, Sam Pang","Marty Sheargold","8.40 pm Monday","3 August 2020","579,000[187]"
8,194,15,"Ed Kavalee, Hayley Sproull, Tony Martin, Anne Edmonds, Sam Pang","Ed Kavalee, Hayley Sproull, Tony Martin, Anne Edmonds, Sam Pang","Anne Edmonds","8.50 pm Monday","10 August 2020","623,000[188]"
8,195,16,"Ed Kavalee, Urzila Carlson, Glenn Robbins, Ash London, Sam Pang","Ed Kavalee, Urzila Carlson, Glenn Robbins, Ash London, Sam Pang","Ash London","8.45 pm Monday","17 August 2020","712,000[189]"
8,196,17,"Ed Kavalee, Amanda Keller, Lloyd Langford, Kitty Flanagan, Sam Pang","Ed Kavalee, Amanda Keller, Lloyd Langford, Kitty Flanagan, Sam Pang","Amanda Keller","8.40 pm Monday","24 August 2020","692,000[190]"
8,197,18,"Ed Kavalee, Melanie Bracewell, Tim McDonald, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Tim McDonald, Celia Pacquola, Sam Pang","Ed Kavalee","8.40 pm Monday","31 August 2020","766,000[191]"
8,198,19,"Ed Kavalee, Denise Scott, Marty Sheargold, Hayley Sproull, Sam Pang","Ed Kavalee, Denise Scott, Marty Sheargold, Hayley Sproull, Sam Pang","Ed Kavalee","8.40 pm Monday","7 September 2020","764,000[192]"
8,199,20,"Ed Kavalee, Ash London, Lloyd Langford, Kitty Flanagan, Sam Pang","Ed Kavalee, Ash London, Lloyd Langford, Kitty Flanagan, Sam Pang","Ash London","8.40 pm Monday","14 September 2020","767,000[193]"
8,200,21,"Ed Kavalee, Melanie Bracewell, Tony Martin, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Tony Martin, Celia Pacquola, Sam Pang","Ed Kavalee","8.40 pm Monday","21 September 2020","572,000[194]"
8,201,22,"Ed Kavalee, Hayley Sproull, Hamish Blake, Anne Edmonds, Sam Pang","Ed Kavalee, Hayley Sproull, Hamish Blake, Anne Edmonds, Sam Pang","Anne Edmonds","9.00 pm Monday","28 September 2020","636,000[195]"
8,202,23,"Ed Kavalee, Urzila Carlson, Glenn Robbins, Kitty Flanagan, Tim McDonald","Ed Kavalee, Urzila Carlson, Glenn Robbins, Kitty Flanagan, Tim McDonald","Glenn Robbins","8.40 pm Monday","5 October 2020","599,000[196]"
8,203,24,"Ed Kavalee, Abby Coleman, Marty Sheargold, Melanie Bracewell, Sam Pang","Ed Kavalee, Abby Coleman, Marty Sheargold, Melanie Bracewell, Sam Pang","Marty Sheargold","8.45 pm Monday","12 October 2020","628,000[197]"
8,204,25,"Ed Kavalee, Susie Youssef, Tony Martin, Celia Pacquola, Sam Pang","Ed Kavalee, Susie Youssef, Tony Martin, Celia Pacquola, Sam Pang","Susie Youssef","8.40 pm Monday","19 October 2020","735,000[198]"
8,205,26,"Tim McDonald, Urzila Carlson, Lloyd Langford, Ash London, Sam Pang","Tim McDonald, Urzila Carlson, Lloyd Langford, Ash London, Sam Pang","Urzila Carlson","8.40 pm Monday","26 October 2020","612,000[199]"
8,206,27,"Ed Kavalee, Hayley Sproull, Mick Molloy, Cal Wilson, Sam Pang","Ed Kavalee, Hayley Sproull, Mick Molloy, Cal Wilson, Sam Pang","Ed Kavalee","8.35 pm Monday","2 November 2020","642,000[200]"
8,207,28,"Ed Kavalee, Abby Coleman, Peter Helliar, Celia Pacquola, Sam Pang","Ed Kavalee, Abby Coleman, Peter Helliar, Celia Pacquola, Sam Pang","Peter Helliar","9.00 pm Monday","9 November 2020","620,000[201]"
8,208,29,"Ed Kavalee, Urzila Carlson, Tony Martin, Amanda Keller, Sam Pang","Ed Kavalee, Urzila Carlson, Tony Martin, Amanda Keller, Sam Pang","Amanda Keller","8.30 pm Monday","16 November 2020","617,000[202]"
9,210,1,"Ed Kavalee, Melanie Bracewell, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee","8:40 pm Monday","3 May 2021","732,000[203]"
9,211,2,"Ed Kavalee, Melanie Bracewell, Aaron Chen, Anne Edmonds, Sam Pang","Ed Kavalee, Melanie Bracewell, Aaron Chen, Anne Edmonds, Sam Pang","Ed Kavalee","8:40 pm Monday","10 May 2021","749,000[204]"
9,212,3,"Ed Kavalee, Melanie Bracewell, Tim McDonald, Kitty Flanagan, Sam Pang","Ed Kavalee, Melanie Bracewell, Tim McDonald, Kitty Flanagan, Sam Pang","Melanie Bracewell","8:40 pm Monday","17 May 2021","654,000[205]"
9,213,4,"Ed Kavalee, Melanie Bracewell, Lloyd Langford, Urzila Carlson, Sam Pang","Ed Kavalee, Melanie Bracewell, Lloyd Langford, Urzila Carlson, Sam Pang","Urzila Carlson","8:40 pm Monday","24 May 2021","731,000[206]"
9,214,5,"Ed Kavalee, Cal Wilson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Cal Wilson, Marty Sheargold, Kitty Flanagan, Sam Pang","Marty Sheargold","8:40 pm Monday","31 May 2021","749,000[207]"
9,215,6,"Ed Kavalee, Alex Ward, Tim McDonald, Celia Pacquola, Sam Pang","Ed Kavalee, Alex Ward, Tim McDonald, Celia Pacquola, Sam Pang","Tim McDonald","8:40 pm Monday","7 June 2021","709,000[208]"
9,216,7,"Ed Kavalee, Anne Edmonds, Tony Martin, Kitty Flanagan, Geraldine Hickey","Ed Kavalee, Anne Edmonds, Tony Martin, Kitty Flanagan, Geraldine Hickey","Geraldine Hickey","8:40 pm Monday","14 June 2021","650,000[209]"
9,217,8,"Ed Kavalee, Alex Ward, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee, Alex Ward, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee","8:40 pm Monday","21 June 2021","727,000[210]"
9,218,9,"Tim McDonald, Anne Edmonds, Glenn Robbins, Celia Pacquola, Sam Pang","Tim McDonald, Anne Edmonds, Glenn Robbins, Celia Pacquola, Sam Pang","Glenn Robbins","8:40 pm Monday","28 June 2021","659,000[211]"
9,219,10,"Ed Kavalee, Denise Scott, Lloyd Langford, Celia Pacquola, Andy Lee","Ed Kavalee, Denise Scott, Lloyd Langford, Celia Pacquola, Andy Lee","Celia Pacquola","8:40 pm Monday","5 July 2021","657,000[212]"
9,220,11,"Ed Kavalee, Hayley Sproull, Peter Helliar, Melanie Bracewell, Sam Pang","Ed Kavalee, Hayley Sproull, Peter Helliar, Melanie Bracewell, Sam Pang","Peter Helliar","9.00 pm Monday","12 July 2021","674,000[213]"
9,221,12,"Ed Kavalee, Alex Ward, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Alex Ward, Marty Sheargold, Kitty Flanagan, Sam Pang","Marty Sheargold","9.00 pm Monday","19 July 2021","744,000[214]"
9,222,13,"Ed Kavalee, Melanie Bracewell, Tim McDonald, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Tim McDonald, Celia Pacquola, Sam Pang","Sam Pang","9.00 pm Monday","26 July 2021","577,000[215]"
9,223,14,"Ed Kavalee, Anne Edmonds, Glenn Robbins, Kitty Flanagan, Marty Sheargold","Ed Kavalee, Anne Edmonds, Glenn Robbins, Kitty Flanagan, Marty Sheargold","Marty Sheargold","8.40 pm Monday","2 August 2021","477,000[216]"
9,224,15,"Ed Kavalee, Denise Scott, Lloyd Langford, Celia Pacquola, Sam Pang","Ed Kavalee, Denise Scott, Lloyd Langford, Celia Pacquola, Sam Pang","Lloyd Langford","8.40 pm Monday","9 August 2021","603,000[217]"
9,225,16,"Ed Kavalee, Alex Ward, Mick Molloy, Anne Edmonds, Sam Pang","Ed Kavalee, Alex Ward, Mick Molloy, Anne Edmonds, Sam Pang","Ed Kavalee","8.40 pm Monday","16 August 2021","712,000[218]"
9,226,17,"Ed Kavalee, Kate Langbroek, Tony Martin, Melanie Bracewell, Sam Pang","Ed Kavalee, Kate Langbroek, Tony Martin, Melanie Bracewell, Sam Pang","Ed Kavalee","8.40 pm Monday","23 August 2021","664,000[219]"
9,227,18,"Ed Kavalee, Anne Edmonds, Luke McGregor, Kitty Flanagan, Sam Pang","Ed Kavalee, Anne Edmonds, Luke McGregor, Kitty Flanagan, Sam Pang","Anne Edmonds","8.40 pm Monday","30 August 2021","637,000[220]"
9,228,19,"Ed Kavalee, Denise Scott, Dilruk Jayasinha, Celia Pacquola, Sam Pang","Ed Kavalee, Denise Scott, Dilruk Jayasinha, Celia Pacquola, Sam Pang","Ed Kavalee","8.40 pm Monday","6 September 2021","704,000[221]"
9,229,20,"Ed Kavalee, Emma Holland, Peter Helliar, Kitty Flanagan, Sam Pang","Ed Kavalee, Emma Holland, Peter Helliar, Kitty Flanagan, Sam Pang","Peter Helliar","8.40 pm Monday","13 September 2021","639,000[222]"
9,230,21,"Ed Kavalee, Anne Edmonds, Luke McGregor, Celia Pacquola, Sam Pang","Ed Kavalee, Anne Edmonds, Luke McGregor, Celia Pacquola, Sam Pang","Celia Pacquola","8.40 pm Monday","20 September 2021","731,000[223]"
9,231,22,"Ed Kavalee, Alex Ward, Lloyd Langford, Melanie Bracewell, Tony Martin","Ed Kavalee, Alex Ward, Lloyd Langford, Melanie Bracewell, Tony Martin","Lloyd Langford","8.45 pm Monday","27 September 2021","684,000[224]"
9,232,23,"Ed Kavalee, Emma Holland, Glenn Robbins, Kitty Flanagan, Sam Pang","Ed Kavalee, Emma Holland, Glenn Robbins, Kitty Flanagan, Sam Pang","Ed Kavalee","8.40 pm Monday","4 October 2021","643,000[225]"
9,233,24,"Ed Kavalee, Anne Edmonds, Tony Martin, Emma Holland, Sam Pang","Ed Kavalee, Anne Edmonds, Tony Martin, Emma Holland, Sam Pang","Anne Edmonds","8.40 pm Monday","11 October 2021","697,000[226]"
9,234,25,"Tim McDonald, Alex Ward, Lloyd Langford, Kitty Flanagan, Sam Pang","Tim McDonald, Alex Ward, Lloyd Langford, Kitty Flanagan, Sam Pang","Alex Ward","8.40 pm Monday","18 October 2021","693,000[227]"
9,235,26,"Ed Kavalee, Cal Wilson, Mick Molloy, Kate Langbroek, Sam Pang","Ed Kavalee, Cal Wilson, Mick Molloy, Kate Langbroek, Sam Pang","Ed Kavalee","8.40 pm Monday","25 October 2021","695,000[228]"
9,236,27,"Ed Kavalee, Alex Ward, Josh Lawson, Kitty Flanagan, Sam Pang","Ed Kavalee, Alex Ward, Josh Lawson, Kitty Flanagan, Sam Pang","Sam Pang","8.40 pm Monday","1 November 2021","TBD"
0,35,2,"Ed Kavalee, Jane Kennedy, Mick Molloy, Michala Banas, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Michala Banas, Sam Pang","Michala Banas","8:30 pm Monday","17 November 2014","564,000[216]"
0,64,3,"Ed Kavalee, Jane Kennedy, Marty Sheargold, Abby Coleman, Sam Pang","Ed Kavalee, Jane Kennedy, Marty Sheargold, Abby Coleman, Sam Pang","Marty Sheargold","8:30 pm Monday","23 November 2015","710,000[217]"
0,92,4,"Ed Kavalee, Urzila Carlson, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee, Urzila Carlson, Marty Sheargold, Celia Pacquola, Sam Pang","Sam Pang","8:30 pm Monday","21 November 2016","757,000[218]"
0,122,5,"Ed Kavalee, Urzila Carlson, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Urzila Carlson, Marty Sheargold, Kitty Flanagan, Sam Pang","Urzila Carlson","8:30 pm Monday","27 November 2017","772,000[219]"
0,150,6,"Ed Kavalee, Denise Scott, Urzila Carlson, Kitty Flanagan, Sam Pang","Ed Kavalee, Denise Scott, Urzila Carlson, Kitty Flanagan, Sam Pang","Urzila Carlson","8:30 pm Monday","19 November 2018","810,000[220]"
0,179,7,"Ed Kavalee, Melanie Bracewell, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee, Melanie Bracewell, Mick Molloy, Kitty Flanagan, Sam Pang","Kitty Flanagan","8.40 pm Monday","25 November 2019","870,000[221]"
0,209,8,"Ed Kavalee, Melanie Bracewell, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee, Melanie Bracewell, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee","8.30 pm Monday","23 November 2020","661,000[222]"
