"Season","No. overall","No. in season","Guests","guests","winner","Timeslot","Original air date","Viewers"
3,62,27,"Ed Kavalee, Kate Langbroek, Lawrence Mooney, Monty Diamond, Sam Pang","Ed Kavalee, Kate Langbroek, Lawrence Mooney, Monty Diamond, Sam Pang","Ed Kavalee","8:30 pm Monday","9 November 2015","668,000[60]"
3,63,28,"Ed Kavalee, Celia Pacquola, Hamish Blake, Fifi Box, Sam Pang","Ed Kavalee, Celia Pacquola, Hamish Blake, Fifi Box, Sam Pang","Fifi Box","8:30 pm Monday","16 November 2015","678,000[61]"
4,65,1,"Ed Kavalee, Jane Kennedy, Marty Sheargold, Fifi Box, Sam Pang","Ed Kavalee, Jane Kennedy, Marty Sheargold, Fifi Box, Sam Pang","Ed Kavalee","8:30 pm Monday","9 May 2016","684,000[62]"
4,66,2,"Ed Kavalee, Anne Edmonds, Mick Molloy, Julia Morris, Lehmo","Ed Kavalee, Anne Edmonds, Mick Molloy, Julia Morris, Lehmo","Ed Kavalee","8:30 pm Monday","16 May 2016","687,000[63]"
4,67,3,"Ed Kavalee, Abby Coleman, Lawrence Mooney, Monty Diamond, Sam Pang","Ed Kavalee, Abby Coleman, Lawrence Mooney, Monty Diamond, Sam Pang","Abby Coleman","8:30 pm Monday","23 May 2016","715,000[64]"
4,68,4,"Ed Kavalee, Amanda Keller, Dave Hughes, Cal Wilson, Sam Pang","Ed Kavalee, Amanda Keller, Dave Hughes, Cal Wilson, Sam Pang","Amanda Keller","8:30 pm Monday","30 May 2016","714,000[65]"
4,69,5,"Ed Kavalee, Kate Langbroek, Harry Shearer, Anne Edmonds, Sam Pang","Ed Kavalee, Kate Langbroek, Harry Shearer, Anne Edmonds, Sam Pang","Harry Shearer","8:30 pm Monday","6 June 2016","790,000[66]"
4,70,6,"Ed Kavalee, Jane Kennedy, Hamish Blake, Kitty Flanagan, Sam Pang","Ed Kavalee, Jane Kennedy, Hamish Blake, Kitty Flanagan, Sam Pang","Jane Kennedy","8:30 pm Monday","13 June 2016","676,000[67]"
4,71,7,"Ed Kavalee, Anne Edmonds, Peter Helliar, Fifi Box, Sam Pang","Ed Kavalee, Anne Edmonds, Peter Helliar, Fifi Box, Sam Pang","Sam Pang","8:30 pm Monday","20 June 2016","773,000[68]"
4,72,8,"Ed Kavalee, Sarah Harris, Glenn Robbins, Kitty Flanagan, Sam Pang","Ed Kavalee, Sarah Harris, Glenn Robbins, Kitty Flanagan, Sam Pang","Sarah Harris","8:30 pm Monday","27 June 2016","830,000[69]"
4,73,9,"Ed Kavalee, Jane Kennedy, Lehmo, Cal Wilson, Santo Cilauro","Ed Kavalee, Jane Kennedy, Lehmo, Cal Wilson, Santo Cilauro","Cal Wilson","8:30 pm Monday","4 July 2016","803,000[70]"
4,74,10,"Ed Kavalee, Urzila Carlson, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee, Urzila Carlson, Marty Sheargold, Celia Pacquola, Sam Pang","Urzila Carlson","8:30 pm Monday","11 July 2016","807,000[71]"
